Epoch, Total Squared Error,
0, 1.146745,
1, 1.128202,
2, 1.111975,
3, 1.097946,
4, 1.085948,
5, 1.075783,
6, 1.067241,
7, 1.060113,
8, 1.054199,
9, 1.049318,
10, 1.045304,
11, 1.042016,
12, 1.039329,
13, 1.037137,
14, 1.035354,
15, 1.033904,
16, 1.032726,
17, 1.031770,
18, 1.030995,
19, 1.030366,
20, 1.029856,
21, 1.029442,
22, 1.029106,
23, 1.028833,
24, 1.028611,
25, 1.028430,
26, 1.028282,
27, 1.028161,
28, 1.028062,
29, 1.027981,
30, 1.027913,
31, 1.027857,
32, 1.027810,
33, 1.027771,
34, 1.027737,
35, 1.027709,
36, 1.027684,
37, 1.027663,
38, 1.027644,
39, 1.027628,
40, 1.027613,
41, 1.027599,
42, 1.027586,
43, 1.027575,
44, 1.027564,
45, 1.027553,
46, 1.027543,
47, 1.027534,
48, 1.027525,
49, 1.027516,
50, 1.027507,
51, 1.027498,
52, 1.027490,
53, 1.027481,
54, 1.027473,
55, 1.027465,
56, 1.027456,
57, 1.027448,
58, 1.027440,
59, 1.027432,
60, 1.027424,
61, 1.027416,
62, 1.027408,
63, 1.027400,
64, 1.027392,
65, 1.027384,
66, 1.027376,
67, 1.027368,
68, 1.027360,
69, 1.027352,
70, 1.027344,
71, 1.027336,
72, 1.027328,
73, 1.027320,
74, 1.027312,
75, 1.027304,
76, 1.027296,
77, 1.027288,
78, 1.027280,
79, 1.027272,
80, 1.027264,
81, 1.027256,
82, 1.027248,
83, 1.027240,
84, 1.027232,
85, 1.027224,
86, 1.027216,
87, 1.027208,
88, 1.027200,
89, 1.027192,
90, 1.027183,
91, 1.027175,
92, 1.027167,
93, 1.027159,
94, 1.027151,
95, 1.027143,
96, 1.027135,
97, 1.027127,
98, 1.027119,
99, 1.027111,
100, 1.027102,
101, 1.027094,
102, 1.027086,
103, 1.027078,
104, 1.027070,
105, 1.027062,
106, 1.027054,
107, 1.027045,
108, 1.027037,
109, 1.027029,
110, 1.027021,
111, 1.027013,
112, 1.027004,
113, 1.026996,
114, 1.026988,
115, 1.026980,
116, 1.026971,
117, 1.026963,
118, 1.026955,
119, 1.026947,
120, 1.026938,
121, 1.026930,
122, 1.026922,
123, 1.026914,
124, 1.026905,
125, 1.026897,
126, 1.026889,
127, 1.026880,
128, 1.026872,
129, 1.026864,
130, 1.026855,
131, 1.026847,
