Epoch, Total Squared Error,
0, 6.332257,
1, 6.009938,
2, 5.651120,
3, 5.297325,
4, 5.000183,
5, 4.782748,
6, 4.629101,
7, 4.510722,
8, 4.406069,
9, 4.303045,
10, 4.196096,
11, 4.083680,
12, 3.966541,
13, 3.846323,
14, 3.724446,
15, 3.601506,
16, 3.477330,
17, 3.351396,
18, 3.223254,
19, 3.092767,
20, 2.960171,
21, 2.826036,
22, 2.691184,
23, 2.556594,
24, 2.423319,
25, 2.292406,
26, 2.164833,
27, 2.041459,
28, 1.922994,
29, 1.809981,
30, 1.702796,
31, 1.601654,
32, 1.506632,
33, 1.417684,
34, 1.334671,
35, 1.257380,
36, 1.185548,
37, 1.118876,
38, 1.057047,
39, 0.999738,
40, 0.946626,
41, 0.897398,
42, 0.851755,
43, 0.809413,
44, 0.770105,
45, 0.733584,
46, 0.699621,
47, 0.668005,
48, 0.638543,
49, 0.611056,
50, 0.585384,
51, 0.561379,
52, 0.538906,
53, 0.517842,
54, 0.498077,
55, 0.479509,
56, 0.462044,
57, 0.445600,
58, 0.430098,
59, 0.415469,
60, 0.401649,
61, 0.388580,
62, 0.376207,
63, 0.364483,
64, 0.353362,
65, 0.342802,
66, 0.332767,
67, 0.323222,
68, 0.314135,
69, 0.305476,
70, 0.297218,
71, 0.289336,
72, 0.281807,
73, 0.274611,
74, 0.267726,
75, 0.261135,
76, 0.254820,
77, 0.248766,
78, 0.242959,
79, 0.237384,
80, 0.232029,
81, 0.226881,
82, 0.221931,
83, 0.217167,
84, 0.212580,
85, 0.208161,
86, 0.203901,
87, 0.199793,
88, 0.195829,
89, 0.192001,
90, 0.188305,
91, 0.184732,
92, 0.181279,
93, 0.177938,
94, 0.174705,
95, 0.171576,
96, 0.168544,
97, 0.165608,
98, 0.162761,
99, 0.160000,
100, 0.157322,
101, 0.154724,
102, 0.152201,
103, 0.149751,
104, 0.147371,
105, 0.145058,
106, 0.142810,
107, 0.140623,
108, 0.138496,
109, 0.136426,
110, 0.134411,
111, 0.132450,
112, 0.130539,
113, 0.128678,
114, 0.126864,
115, 0.125095,
116, 0.123371,
117, 0.121690,
118, 0.120049,
119, 0.118448,
120, 0.116886,
121, 0.115360,
122, 0.113870,
123, 0.112415,
124, 0.110993,
125, 0.109604,
126, 0.108245,
127, 0.106918,
128, 0.105619,
129, 0.104349,
130, 0.103107,
131, 0.101891,
132, 0.100701,
133, 0.099537,
134, 0.098396,
135, 0.097280,
136, 0.096186,
137, 0.095114,
138, 0.094064,
139, 0.093036,
140, 0.092027,
141, 0.091039,
142, 0.090069,
143, 0.089119,
144, 0.088186,
145, 0.087272,
146, 0.086374,
147, 0.085494,
148, 0.084630,
149, 0.083781,
150, 0.082948,
151, 0.082131,
152, 0.081328,
153, 0.080539,
154, 0.079764,
155, 0.079003,
156, 0.078255,
157, 0.077520,
158, 0.076798,
159, 0.076088,
160, 0.075390,
161, 0.074703,
162, 0.074029,
163, 0.073365,
164, 0.072712,
165, 0.072070,
166, 0.071438,
167, 0.070816,
168, 0.070205,
169, 0.069603,
170, 0.069010,
171, 0.068427,
172, 0.067853,
173, 0.067287,
174, 0.066730,
175, 0.066182,
176, 0.065642,
177, 0.065110,
178, 0.064586,
179, 0.064070,
180, 0.063561,
181, 0.063060,
182, 0.062566,
183, 0.062079,
184, 0.061600,
185, 0.061127,
186, 0.060660,
187, 0.060201,
188, 0.059747,
189, 0.059300,
190, 0.058859,
191, 0.058425,
192, 0.057996,
193, 0.057573,
194, 0.057155,
195, 0.056744,
196, 0.056337,
197, 0.055936,
198, 0.055541,
199, 0.055150,
200, 0.054765,
201, 0.054384,
202, 0.054009,
203, 0.053638,
204, 0.053272,
205, 0.052911,
206, 0.052554,
207, 0.052201,
208, 0.051853,
209, 0.051510,
210, 0.051170,
211, 0.050835,
212, 0.050504,
213, 0.050176,
214, 0.049853,
