Epoch, Total Squared Error,
0, 5.756784,
1, 4.818364,
2, 5.048747,
3, 4.624095,
4, 4.369280,
5, 4.294741,
6, 4.149131,
7, 4.084201,
8, 4.056943,
9, 4.027845,
10, 4.001623,
11, 3.981944,
12, 3.965974,
13, 3.949974,
14, 3.930570,
15, 3.903832,
16, 3.863251,
17, 3.795494,
18, 3.670054,
19, 3.416781,
20, 2.936849,
21, 2.464070,
22, 2.486390,
23, 2.327274,
24, 1.573923,
25, 0.860384,
26, 0.469400,
27, 0.281698,
28, 0.187635,
29, 0.134730,
30, 0.102587,
31, 0.081834,
32, 0.067719,
33, 0.057848,
34, 0.050810,
35, 0.045657,
